unicode,trans
u+2614,rain
u+1f60d,heart
u+1f338,flower
u+1f984,unicorn
u+1f49c,heart
u+1f389,ruin
u+1f495,heart
u+1f496,heart
u+1f5a4,heart
u+1f49e,heart
u+2764,heart
u+1f60a,happy
u+2728,spark
u+1f61b,happy
u+1f339,flower
u+1f3fb,old
u+1f60e,happy
u+1f618,kiss
u+1f497,heart
u+1f440,eyes
u+1f334,tree
u+1f33a,flower
u+1f379,drink
u+1f631,sad
u+1f499,heart
u+1f3fc,fist
u+1f49b,heart
u+1f49a,heart
u+2708,plane
u+1f604,happy
u+1f62d,sad
u+1f43e,footprint
u+2665,heart
u+1f412,monkey
u+1f43b,bear
u+1f64a,monkey
u+1f48e,gem
u+1f33c,flower
u+1f606,happy
u+1f494,broken
u+1f413,chicken
u+1f3b6,music
u+1f483,dance
u+1f337,flower
u+1f61a,kiss
u+1f60c,relieved
u+1f917,hug
u+1f42d,mouse
u+1f498,heart
u+1f60b,happy
u+1f41b,bug
u+1f41d,bee
u+1f607,happy
u+1f60f,happy
u+1f1f7,regional indicator
u+1f48d,ring
u+1f698,car
u+1f4aa,strong
u+1f436,dog
u+1f456,cloth
u+1f380,ribbon
u+1f601,happy
u+1f44f,clap
u+1f609,happy
u+1f30a,water
u+1f602,tear joy
u+270c,happy
u+263a,happy
u+1f3a5,camera
u+1f51d,top
u+1f512,lock
u+1f340,luck
u+1f525,fire
u+1f64f,luck
u+26ea,luck
u+1f4ad,thought
u+2600,sun
u+1f98b,butterfly
u+1f305,sun
u+1f343,leaf
u+1f33e,rice
u+1f62b,tired
u+2660,spade
u+1f629,sad
u+2763,heart
u+1f491,heart
u+1f49d,heart
u+1f493,heart
u+1f48b,kiss
u+1f44c,approve
u+1f31e,sun
u+1f697,car
u+1f485,nail
u+1f364,shrimp
u+1f49f,heart
u+1f645,sad
u+1f646,approve
u+1f377,drink
u+1f614,sad
u+1f3a7,headphone
u+1f617,kiss
u+2693,anchor
u+2618,luck
u+1f3b5,music
u+1f382,birthday
u+1f423,chicken
u+1f6cb,couch
u+1f451,crown
u+1f3b8,music
u+1f633,happy
u+1f308,rainbow
u+1f3a4,microphone
u+1f3bc,music
u+1f63b,heart
u+1f44d,approve
u+1f4f7,camera
u+1f940,flower
u+2601,cloud
u+1f314,moon
u+1f320,star
u+1f947,medal
u+1f4f8,camera
u+1f62c,sad
u+1f36b,chocolate
u+26a1,spark
u+1f32a,cloud
u+1f4a5,collision
u+1f619,kiss
u+270b,hand
u+1f481,woman
u+1f918,happy
u+1f957,food
u+1f4af,perfect
u+1f513,lock
u+1f605,happy
u+1f1f9,regional indicator
u+1f64c,happy
u+1f648,monkey
u+1f351,peach
u+1f463,footprint
u+1f33f,leaf
u+1f301,cloud
u+1f6cd,shopping
u+1f470,wedding
u+1f622,sad
u+1f623,preserving
u+1f603,happy
u+1f46b,love
u+1f3e5,medical
u+1f38a,wedding
u+1f943,tumbler
u+1f45f,sport
u+1f61c,happy
u+1f4a6,sweat
u+2702,scissor
u+1f4ab,dizzy
u+1f484,lipstick
u+1f378,drink
u+1f431,cat
u+1f381,present
u+1f539,gem
u+1f30e,earth
u+1f48f,kiss
u+1f61f,sad
u+1f1ed,regional indicator
u+1f914,think
u+1f355,food
u+1f449,right direction
u+1f448,left direction
u+1f634,sleeping
u+1f4da,book
u+1f6c1,bath
u+2744,snow
u+1f37a,drink
u+1f3dd,plant
u+1f913,nerd
u+1f611,expressionless
u+1f489,medical
u+1f418,elephant
u+1f644,sceptical
u+1f621,angry
u+1f643,upside-down-happy
u+1f612,sad
u+1f63e,cat
u+2639,angry
u+1f625,sad
u+1f624,happy
u+1f61e,sad
u+1f44a,fist
u+1f925,lie
u+1f610,neutral
u+1f52a,knife
u+1f6ce,bell
u+1f51a,left direction
u+1f44e,disapprove
u+1f40d,snake
u+1f409,dragon
u+1f46d,love
u+1f437,pig
u+1f642,happy
u+2757,Exclamation
u+1f616,confounded
u+1f383,jack-o-lantern
u+1f641,sad
u+1f620,angry
u+1f911,money
u+1f637,medical
u+1f608,evil
u+1f46f,love
u+1f4b8,money
u+1f4a9,poo
u+1f480,skull
u+1f600,happy
u+1f636,face
u+1f628,fearful
u+1f43f,chipmunk
u+1f479,orge
u+1f680,rocket
u+274c,disapprove
u+1f47f,evil
u+1f319,moon
u+1f469,woman
u+1f430,rabbit
u+1f52b,gun
u+1f1f8,regional indicator
u+1f47d,alien
u+1f447,down
u+1f4bb,computer
u+1f4c9,down
u+1f4d0,triangular ruler
u+1f52c,microscope
u+1f52d,telescope
u+1f48a,medical
u+1f321,medical
u+269b,atom
u+1f332,tree
u+267b,recycle
u+1f4a1,bulb
u+1f4e2,speaker
u+270a,fist
u+1f331,seed
u+1f1fa,regional indicator
u+1f30f,earth
u+1f613,sad
u+1f30d,earth
u+1f467,woman
u+1f941,drum
u+2b07,down
u+1f4c6,calendar
u+1f422,turtle
u+1f42c,dolphin
u+1f428,koala
u+1f980,crab
u+1f438,frog
u+1f419,octopus
u+1f420,fish
u+27a1,right direction
u+1f923,laugh
u+262e,peace
u+20e3,keycap
u+2604,star
u+1f31f,star
u+1f3de,park
u+26c8,cloud
u+1f596,hand
u+1f310,earth
u+1f6f0,satellite
u+1f4e1,satellite
u+1f427,penguin
u+1f3a8,art
u+1f3ad,art
u+1f6a8,police
u+2705,check
